iter	Passed	Remaining
0	86	86799
1	87	43597
2	87	29174
3	88	21953
4	88	17619
5	88	14730
6	89	12667
7	89	11118
8	90	9913
9	90	8950
10	90	8181
11	91	7537
12	91	6981
13	92	6504
14	92	6090
15	93	5728
16	93	5408
17	93	5124
18	94	4870
19	94	4641
20	95	4434
21	95	4246
22	95	4073
23	96	3918
24	96	3774
25	97	3641
26	97	3516
27	97	3401
28	98	3293
29	98	3194
30	99	3100
31	99	3012
32	99	2929
33	100	2851
34	100	2778
35	101	2708
36	101	2643
37	102	2582
38	102	2524
39	102	2468
40	103	2414
41	103	2365
42	104	2317
43	104	2270
44	104	2226
45	105	2184
46	105	2143
47	106	2104
48	106	2067
49	106	2031
50	107	1997
51	107	1964
52	108	1933
53	108	1902
54	108	1872
55	109	1844
56	109	1816
57	110	1789
58	110	1764
59	110	1738
60	111	1714
61	111	1691
62	112	1670
63	112	1648
64	113	1627
65	113	1607
66	114	1589
67	114	1568
68	115	1552
69	115	1534
70	115	1517
71	116	1499
72	116	1482
73	117	1465
74	117	1449
75	117	1434
76	118	1419
77	118	1405
78	119	1392
79	119	1378
80	120	1364
81	120	1351
82	121	1338
83	121	1325
84	121	1311
85	122	1298
86	122	1285
87	122	1273
88	123	1262
89	123	1251
90	124	1240
91	124	1229
92	124	1218
93	125	1208
94	125	1198
95	126	1188
96	126	1178
97	127	1168
98	127	1159
99	127	1150
100	128	1140
101	128	1130
102	128	1122
103	129	1113
104	129	1105
105	130	1097
106	130	1089
107	130	1081
108	131	1073
109	131	1065
110	132	1058
111	132	1050
112	132	1043
113	133	1035
114	133	1028
115	134	1022
116	134	1015
117	135	1009
118	135	1002
119	135	995
120	136	989
121	136	982
122	136	975
123	137	969
124	137	963
125	137	957
126	138	951
127	138	944
128	139	938
129	139	933
130	139	928
131	140	923
132	140	917
133	141	912
134	141	907
135	141	902
136	142	896
137	142	891
138	143	886
139	143	881
140	143	876
141	144	872
142	144	867
143	145	862
144	145	858
145	145	853
146	146	849
147	146	844
148	147	840
149	147	836
150	147	831
151	148	827
152	148	823
153	149	819
154	149	814
155	149	810
156	150	807
157	150	803
158	151	799
159	151	795
160	151	791
161	152	788
162	152	785
163	153	782
164	153	778
165	154	774
166	154	771
167	155	767
168	155	764
169	155	761
170	156	758
171	156	755
172	157	751
173	157	748
174	158	745
175	158	742
176	158	739
177	159	735
178	159	732
179	160	729
180	160	725
181	160	722
182	161	719
183	161	716
184	161	713
185	162	710
186	162	707
187	163	704
188	163	701
189	163	699
190	164	696
191	164	693
192	165	691
193	165	689
194	166	687
195	167	685
196	167	682
197	167	679
198	168	677
199	168	674
200	169	672
201	169	669
202	169	667
203	170	664
204	170	662
205	171	659
206	171	657
207	172	655
208	172	652
209	173	650
210	173	648
211	173	646
212	174	643
213	174	641
214	175	639
215	175	637
216	175	634
217	176	632
218	176	630
219	177	628
220	177	626
221	178	624
222	178	622
223	178	619
224	179	617
225	179	615
226	180	613
227	180	611
228	180	609
229	181	606
230	181	604
231	182	602
232	182	600
233	182	598
234	183	596
235	183	594
236	184	592
237	184	590
238	184	588
239	185	586
240	185	584
241	186	582
242	186	581
243	186	579
244	187	577
245	187	575
246	188	573
247	188	571
248	188	569
249	189	567
250	189	566
251	190	564
252	190	562
253	191	561
254	191	559
255	191	557
256	192	555
257	192	554
258	193	552
259	193	550
260	193	549
261	194	547
262	194	545
263	195	543
264	195	542
265	195	540
266	196	539
267	196	537
268	197	535
269	197	534
270	197	532
271	198	530
272	198	529
273	199	527
274	199	526
275	200	524
276	200	523
277	200	521
278	201	520
279	201	518
280	202	517
281	202	515
282	202	513
283	203	512
284	203	510
285	204	509
286	204	508
287	204	506
288	205	505
289	205	503
290	206	502
291	206	501
292	208	504
293	209	503
